Name,Type,mag,Const,_RAJ2000,_DEJ2000
I2330,,,Cnc,125.6002,18.8500
I 504,Gx,14.0,Hya,125.6502,4.2500
I2331,,,Cnc,125.6502,19.6834
2577,Gx,13.0,Cnc,125.6752,22.5500
I2332,,,Cnc,125.6752,19.9167
2575,Gx,14.0,Cnc,125.7002,24.2834
2576,Gx,15.0,Cnc,125.7252,25.7334
I2333,,,Cnc,125.7502,19.0834
I2334,,,Cnc,125.7502,18.6167
I2335,,,Cnc,125.7752,19.4167
2583,Gx,13.5,Hya,125.8002,-5.0167
2584,Gx,14.0,Hya,125.8002,-5.0000
2588,OC,12.0,Pup,125.8002,-32.9833
I 505,Gx,15.0,Hya,125.8252,4.3667
I2336,,,Cnc,125.8252,18.5334
I2337,,,Cnc,125.8252,18.5334
2585,Gx,14.0,Hya,125.8502,-4.9333
I 506,Gx,15.0,Hya,125.8502,4.3000
2587,OC,9.0,Pup,125.8752,-29.5000
I2342,,,Cnc,125.8752,18.5834
I2338,Gx,,Cnc,125.9002,21.3334
I2339,Gx,,Cnc,125.9002,21.3334
I2340,Gx,15.0,Cnc,125.9002,18.7334
I2341,Gx,,Cnc,125.9252,21.4334
I2343,,,Cnc,125.9752,19.0167
I2344,,,Cnc,125.9752,18.6500
I2345,,,Cnc,126.0252,19.9500
I2346,,,Cnc,126.0502,19.7000
I2347,,,Cnc,126.0502,18.7667
I2367,Gx,,Pup,126.0502,-18.7667
I2349,,,Cnc,126.0752,19.0000
2586,***,15.0,Hya,126.1002,-4.9333
I2348,Gx,16.0,Cnc,126.1002,20.5334
2581,Gx,14.0,Cnc,126.1252,18.5834
2589,-,,Hya,126.1252,-8.7667
I2350,,,Cnc,126.1252,19.5500
2550,Gx,13.0,Cam,126.1500,74.0167
I2351,Gx,14.0,Cnc,126.1502,18.6000
I2353,,,Cnc,126.1502,18.6500
I2352,,,Cnc,126.1752,19.6000
I2354,,,Cnc,126.1752,18.6667
2551,Gx,12.0,Cam,126.2000,73.4167
I2355,,,Cnc,126.2252,20.4667
I2356,,,Cnc,126.2502,19.5000
2590,Gx,14.0,Hya,126.2752,-0.6000
I2357,,,Cnc,126.2752,19.5167
I2358,,,Cnc,126.2752,19.5000
I2360,,,Cnc,126.3002,19.4500
2582,Gx,14.0,Cnc,126.3252,20.3334
I2359,Gx,14.0,Cnc,126.3252,20.3334
2601,Gx,,Vol,126.3751,-68.1167
I 507,?,,Hya,126.4002,-0.4500
I2361,Gx,15.0,Cnc,126.4252,27.8834
I2362,,,Cnc,126.4252,19.9500
I2363,Gx,,Cnc,126.4502,19.4500
I2364,,,Cnc,126.4752,19.7667
I2368,,,Cnc,126.5002,19.8834
I2365,,,Cnc,126.5752,27.8667
I2366,Gx,15.0,Cnc,126.5752,27.8334
I2369,,,Cnc,126.5752,20.2334
I2375,,,Pup,126.5752,-13.3000
I2370,,,Cnc,126.6002,19.6334
I2377,,,Pup,126.6002,-13.3000
I2379,,,Pup,126.6002,-13.3000
I2371,,,Cnc,126.6502,19.8000
I2372,,,Cnc,126.6752,19.8834
2593,Gx,15.0,Cnc,126.7002,17.3667
I2373,Gx,15.0,Cnc,126.7252,20.3667
2592,Gx,13.0,Cnc,126.7752,25.9667
2594,Gx,15.0,Cnc,126.8252,25.8667
2596,Gx,14.0,Cnc,126.8502,17.2834
2595,Gx,14.0,Cnc,126.9252,21.4834
I2374,,,Cnc,127.0752,30.4334
I 508,Gx,15.0,Cnc,127.1002,25.1167
I2376,,,Cnc,127.1002,30.4000
I2381,,,Cnc,127.1002,19.7834
I2378,Gx,,Cnc,127.1252,30.4334
I2380,Gx,15.0,Cnc,127.1502,30.4167
I2382,Gx,15.0,Cnc,127.1752,22.0667
2609,OC,,Car,127.3751,-61.1000
I2383,Gx,16.0,Cnc,127.4002,30.6834
2597,Gx,15.0,Cnc,127.5002,21.5000
2598,Gx,13.7,Cnc,127.5002,21.4834
I 509,Gx,,Cnc,128.0002,24.0000
I 510,Gx,15.0,Hya,128.0252,-2.1667
2599,Gx,13.0,Cnc,128.0502,22.5667
I 513,Gx,14.0,Hya,128.2502,-12.3500
2604,Gx,13.0,Cnc,128.3252,29.5500
2610,Pl,14.0,Hya,128.3502,-16.1500
2613,Gx,10.4,Pyx,128.3502,-22.9667
2612,Gx,13.0,Hya,128.4502,-13.1500
2607,Gx,15.0,Cnc,128.4752,26.9834
I2384,Gx,16.0,Cnc,128.6252,32.4334
2615,Gx,13.0,Hya,128.6502,-2.5333
2600,Gx,15.0,UMa,128.7002,52.7334
I2386,,,Cnc,128.7002,25.8167
I2385,Gx,15.0,Lyn,128.7752,37.2834
2602,Gx,15.0,UMa,128.8002,52.8334
2608,Gx,12.1,Cnc,128.8252,28.4667
2605,-,,UMa,128.8502,52.8500
I 514,Gx,15.0,Hya,128.8502,-2.0500
2603,Gx,15.0,UMa,128.8752,52.7834
2611,Gx,15.0,Cnc,128.8752,25.0334
I 515,Gx,16.0,Hya,128.8752,-1.9000
2616,Gx,12.6,Hya,128.9002,-1.8500
2626,Nb,,Vel,128.9002,-40.6667
2606,Gx,15.0,UMa,128.9252,52.8000
2617,Gx,15.0,Hya,128.9252,-4.0500
I 516,Gx,16.0,Hya,128.9502,-1.8667
2618,Gx,14.0,Hya,129.0502,0.7000
I 517,Gx,15.0,Hya,129.0752,-2.0667
I 518,OC,,Hya,129.2752,0.6833
2627,OC,8.0,Pyx,129.3252,-29.9500
2591,Gx,13.0,Cam,129.3499,78.0334
2640,Gx,,Car,129.3502,-55.1167
2620,Gx,15.0,Cnc,129.3752,24.9500
2619,Gx,13.0,Cnc,129.4002,28.7167
2621,Gx,15.0,Cnc,129.4252,25.0000
2624,Gx,14.0,Cnc,129.5252,19.7334
2622,Gx,15.0,Cnc,129.5752,24.9167
2623,Gx,13.8,Cnc,129.6002,25.7500
2625,Gx,,Cnc,129.6002,19.7000
2635,OC,11.2,Pyx,129.6252,-34.7667
I2387,Gx,15.0,Cnc,129.6502,30.7834
2645,-,,Vel,129.7252,-46.2167
I2388,Gx,16.0,Cnc,130.0002,19.6334
2632,OC,3.1,Cnc,130.0252,19.9834
I2391,OC,2.5,Vel,130.0502,-53.0667
2628,Gx,14.0,Cnc,130.1252,23.5500
I 519,Gx,15.0,Hya,130.1502,2.6000
2642,Gx,13.0,Hya,130.1752,-4.1167
I 511,Gx,,Cam,130.2000,73.4834
2637,Gx,,Cnc,130.2752,19.7000
I2395,OC,4.6,Vel,130.2752,-48.2000
2644,Gx,13.0,Hya,130.3752,4.9833
2643,Gx,,Cnc,130.4252,19.7167
I2390,Gx,16.0,Cnc,130.4502,19.7000
2660,OC,8.8,Vel,130.5502,-47.1500
2638,Gx,13.0,Lyn,130.6002,37.2167
2647,Gx,15.0,Cnc,130.6502,19.6667
2659,OC,8.6,Vel,130.6502,-44.9500
2648,Gx,13.0,Cnc,130.6752,14.2834
2614,Gx,14.0,UMa,130.7000,72.9834
2652,-,,Hya,130.8252,-3.6167
2658,OC,9.0,Pyx,130.8502,-32.6500
2639,Gx,11.8,UMa,130.9002,50.2000
2651,Gx,15.0,Cnc,131.0002,11.7834
2649,Gx,13.0,Lyn,131.0252,34.7167
I2392,Gx,,Cnc,131.1252,18.2834
2669,OC,6.1,Vel,131.2252,-52.9667
2663,Gx,,Pyx,131.2752,-33.8000
2630,Gx,16.0,UMa,131.3500,73.0334
2657,Gx,14.0,Cnc,131.3502,9.6667
2670,OC,7.8,Vel,131.3752,-48.7834
2662,Gx,15.0,Hya,131.4252,-15.1333
I 499,Gx,14.0,Cam,131.4992,85.7167
2661,Gx,14.0,Cnc,131.5002,12.6334
2665,Gx,13.0,Hya,131.5002,-19.2833
2671,OC,12.0,Vel,131.5502,-41.8834
I2403,,,Hya,131.5502,-15.3500
I2396,D*,,Cnc,131.6752,17.6500
I2397,?,,Cnc,131.6752,17.6667
I2398,Gx,,Cnc,131.6752,17.7500
I 521,,,Hya,131.7002,2.5500
I2393,Gx,15.0,Cnc,131.7002,28.1834
2631,Gx,14.0,UMa,131.7750,73.0000
I2394,Gx,15.0,Cnc,131.7752,28.2667
2629,Gx,13.0,UMa,131.8000,72.9834
2664,-,,Cnc,131.8002,12.6000
2656,Gx,13.3,UMa,131.9502,53.8667
I2399,Gx,,Cnc,131.9502,18.9000
I2389,Gx,13.4,Cam,132.0000,73.5334
I2400,Gx,15.0,Lyn,132.0002,38.1000
2633,Gx,11.9,Cam,132.0250,74.1000
2641,Gx,15.0,UMa,132.0250,72.9000
I2401,Gx,15.0,Lyn,132.0252,37.7500
I2402,Gx,15.0,Cnc,132.0252,31.8167
I2404,Gx,15.0,Cnc,132.0252,29.5000
I2406,Gx,,Cnc,132.0252,17.7000
I2407,Gx,,Cnc,132.0252,17.6167
2674,-,,Hya,132.0502,-14.2833
2667,Gx,15.0,Cnc,132.0752,19.0167
I2408,*,,Cnc,132.0752,19.0334
2634,Gx,13.0,Cam,132.1000,73.9667
2636,Gx,14.0,Cam,132.1000,73.6667
I2409,Gx,,Cnc,132.1002,18.3334
I2410,Gx,,Cnc,132.1252,19.0167
I2411,Gx,,Cnc,132.1252,19.0500
I2405,Gx,15.0,Lyn,132.1752,37.2334
2654,Gx,11.8,UMa,132.3002,60.2167
2672,Gx,11.6,Cnc,132.3252,19.0667
2668,Gx,15.0,Lyn,132.3502,36.6834
2673,Gx,12.9,Cnc,132.3502,19.0667
I2412,D*,,Cnc,132.3502,18.5500
I2413,D*,,Cnc,132.3752,18.7500
I2414,Gx,,Cnc,132.4502,18.8000
2650,Gx,14.0,UMa,132.5001,70.3000
2666,-,,UMa,132.5002,47.0500
2677,Gx,15.0,Cnc,132.5002,19.0000
I2415,***,,Cnc,132.5002,18.6500
2678,-,,Cnc,132.5502,11.3334
2646,Gx,12.0,Cam,132.6000,73.4667
2682,OC,6.9,Cnc,132.6002,11.8167
I2416,D*,,Cnc,132.6252,18.5667
I2417,Gx,,Cnc,132.8002,18.8000
I2418,Gx,,Cnc,132.8502,17.9500
2676,Gx,14.0,UMa,132.8752,47.5500
2679,Gx,14.0,Cnc,132.8752,30.8667
2680,Gx,14.0,Cnc,132.8752,30.8667
I2420,Gx,15.0,Hya,132.8752,3.0833
2675,Gx,14.0,UMa,132.9752,53.6000
I2419,*,,Cnc,133.0502,18.1000
2683,Gx,9.7,Lyn,133.1752,33.4167
2690,Gx,14.0,Hya,133.1752,-2.6167
I 523,Gx,15.0,Cnc,133.3002,9.1500
2681,Gx,10.3,UMa,133.3752,51.3167
2714,Gx,,Car,133.3752,-59.2167
I 520,Gx,13.0,Cam,133.4250,73.4834
2696,-,,Hya,133.6002,-4.9833
I2421,Gx,,Cnc,133.6002,32.6834
I2422,Gx,16.0,Cnc,133.6002,20.2334
2695,Gx,13.0,Hya,133.6252,-3.0833
I 522,Gx,14.0,UMa,133.6252,57.1667
2684,Gx,13.0,UMa,133.7002,49.1334
2691,Gx,14.0,Lyn,133.7002,39.5334
I2423,Gx,15.0,Cnc,133.7002,20.2334
2686,Gx,16.0,UMa,133.7252,49.1334
2687,Gx,17.0,UMa,133.7502,49.1500
2697,Gx,13.0,Hya,133.7752,-3.0000
2689,Gx,,UMa,133.8002,49.1500
2688,Gx,16.0,UMa,133.8252,49.1000
2653,Ast,,Cam,133.8999,78.4167
2655,Gx,10.1,Cam,133.8999,78.2167
2685,Gx,11.1,UMa,133.9002,58.7334
2698,Gx,13.0,Hya,133.9002,-3.1833
2700,-,,Hya,133.9252,-5.1000
I2425,*,,Hya,133.9502,-3.4000
2699,Gx,13.0,Hya,133.9752,-3.1500
2702,*,,Hya,133.9752,-3.0500
2703,D*,,Hya,133.9752,-3.2833
2705,*,,Hya,134.0002,-3.0000
2708,Gx,14.0,Hya,134.0252,-3.3667
2707,*,,Hya,134.0502,-3.0667
2706,Gx,14.0,Hya,134.0752,-2.5833
2709,Gx,15.0,Hya,134.0752,-3.2667
I2424,,,Lyn,134.2002,39.3834
2704,Gx,14.0,Lyn,134.2252,39.3667
2692,Gx,14.0,UMa,134.2502,52.0667
2693,Gx,11.7,UMa,134.2502,51.3500
2694,Gx,14.3,UMa,134.2502,51.3334
2717,Gx,14.0,Pyx,134.2502,-24.6667
2711,Gx,14.0,Cnc,134.3252,17.2834
2713,Gx,11.7,Hya,134.3252,2.9167
2716,Gx,12.4,Hya,134.4002,3.0833
I 524,,,Hya,134.5502,-19.1833
I2426,Gx,15.0,Hya,134.6252,2.9000
2722,Gx,,Hya,134.7002,-3.7167
2718,Gx,13.0,Hya,134.7252,6.3000
2721,Gx,13.0,Hya,134.7252,-4.7667
2701,Gx,12.4,UMa,134.7752,53.7667
2720,Gx,14.0,Cnc,134.8002,11.1667
2712,Gx,12.0,Lyn,134.8752,44.9167
2710,Gx,14.0,UMa,134.9502,55.6834
2723,Gx,15.0,Hya,135.0502,3.1833
2719,Gx,14.0,Lyn,135.0752,35.7334
2736,Gx,,Vel,135.1002,-45.9000
2724,Gx,15.0,Lyn,135.2502,35.7667
I2427,Gx,16.0,Lyn,135.2502,37.8667
2725,Gx,14.0,Cnc,135.2752,11.0834
2727,-,,Hya,135.2752,-3.3833
I 525,Gx,15.0,Hya,135.3252,-1.8667
2729,Gx,14.0,Hya,135.3752,3.7167
2728,Gx,15.0,Cnc,135.4502,11.0667
2731,Gx,14.0,Cnc,135.5252,8.3000
2733,-,,Hya,135.5252,-3.7333
2730,Gx,13.0,Cnc,135.5752,16.8334
2735,Gx,14.0,Cnc,135.6502,25.9334
I 526,Gx,15.0,Cnc,135.6502,10.8334
2734,Gx,,Cnc,135.7502,16.8334
I2428,Gx,15.0,Cnc,135.8002,30.5834
I2429,Gx,15.0,Cnc,135.9502,29.3000
2737,Gx,15.0,Cnc,135.9752,21.9000
2738,Gx,14.0,Cnc,135.9752,21.9667
I 512,Gx,12.0,Cam,135.9993,85.5001
2741,-,,Cnc,136.0752,18.2667
I2430,Gx,14.0,Cnc,136.1252,27.9500
I2431,Gx,14.0,Cnc,136.1252,14.6000
2745,Gx,15.0,Cnc,136.1502,18.2500
I2432,Gx,15.0,Hya,136.1502,5.5167
2744,Gx,13.4,Cnc,136.1752,18.4667
2726,Gx,13.0,UMa,136.2252,59.9334
2743,Gx,14.0,Cnc,136.2502,25.0000
2754,Gx,,Hya,136.2502,-19.0833
2747,Gx,15.0,Cnc,136.3252,18.4334
2749,Gx,12.0,Cnc,136.3502,18.3167
2758,Gx,14.0,Hya,136.3502,-19.0500
I2436,D*,,Hya,136.3502,-19.1667
2751,Gx,15.0,Cnc,136.3752,18.2500
2757,D*,,Hya,136.3752,-19.0333
I2433,Gx,15.0,Cnc,136.3752,22.6167
I2437,Gx,,Hya,136.3752,-19.2000
2750,Gx,12.0,Cnc,136.4252,25.4334
2752,Gx,15.0,Cnc,136.4252,18.3334
2739,Gx,15.0,UMa,136.5002,51.7500
2746,Gx,14.0,Lyn,136.5002,35.3667
2740,Gx,15.0,UMa,136.5252,51.7334
2763,Gx,12.1,Hya,136.7002,-15.5000
I2435,Gx,15.0,Cnc,136.7002,26.2667
I2448,Pl,12.0,Car,136.7751,-69.9500
2753,Gx,15.0,Cnc,136.8002,25.3334
I2434,Gx,14.0,Lyn,136.8002,37.2000
2761,Gx,15.0,Cnc,136.8752,18.4334
2742,Gx,11.7,UMa,136.9002,60.4834
2765,Gx,13.0,Hya,136.9002,3.3833
2772,Gx,15.0,Pyx,136.9252,-23.6167
2755,Gx,14.0,Lyn,136.9752,41.7167
2715,Gx,11.4,Cam,137.0249,78.0834
2764,Gx,12.7,Cnc,137.0752,21.4500
2759,Gx,14.0,Lyn,137.1502,37.6167
I2439,Gx,15.0,Cnc,137.1502,32.5834
2766,Gx,14.0,Cnc,137.2002,29.8667
2756,Gx,13.0,UMa,137.2502,53.8500
2788,Gx,,Car,137.2501,-67.9334
I 528,Gx,15.0,Cnc,137.3502,15.8000
2770,Gx,12.0,Lyn,137.4002,33.1167
2773,Gx,14.0,Cnc,137.4002,7.1833
I 527,Gx,15.0,Lyn,137.4002,37.5834
2762,Gx,15.0,UMa,137.4502,50.4334
I2441,,,Cnc,137.5002,22.8667
2767,Gx,14.0,UMa,137.5252,50.4167
I2442,,,Cnc,137.5252,22.8500
2775,Gx,10.3,Cnc,137.5752,7.0333
2769,Gx,14.0,UMa,137.6002,50.4500
2771,Gx,14.0,UMa,137.6252,50.4000
2774,Gx,15.0,Cnc,137.6502,18.7000
2777,Gx,14.0,Cnc,137.6752,7.2000
2781,Gx,11.5,Hya,137.8752,-14.8167
I2443,Gx,15.0,Cnc,137.8752,28.8167
2768,Gx,10.0,UMa,137.9002,60.0334
2808,Gb,6.3,Car,138.0001,-64.8667
2776,Gx,11.6,Lyn,138.0502,44.9500
2778,Gx,13.0,Lyn,138.0752,35.0167
2779,Gx,15.0,Lyn,138.0752,35.0500
2784,Gx,10.1,Hya,138.0752,-24.1667
2792,Pl,14.0,Vel,138.1002,-42.4334
2780,Gx,14.0,Lyn,138.1752,34.9167
I2444,Gx,15.0,Cnc,138.2002,30.2334
I2445,Gx,15.0,Cnc,138.3002,31.8000
2732,Gx,11.9,Cam,138.3499,79.1834
I2446,Gx,15.0,Cnc,138.3752,28.9667
I2447,,,Cnc,138.3752,28.7500
2783,Gx,14.0,Cnc,138.4002,29.9834
2748,Gx,11.7,Cam,138.4250,76.4834
2836,Gx,,Car,138.4251,-69.3334
2786,-,,Cnc,138.5002,12.1500
2822,Gx,12.0,Car,138.5001,-69.6334
I2438,OC,,Cam,138.5001,73.4334
2782,Gx,11.5,Lyn,138.5252,40.1167
2789,Gx,14.0,Cnc,138.7502,29.7334
2790,Gx,14.0,Cnc,138.7502,19.7167
2791,Gx,15.0,Cnc,138.7502,17.6000
2785,Gx,15.0,Lyn,138.8002,40.9167
I2449,,,Cnc,138.8002,30.0000
I 530,Gx,14.0,Cnc,138.8252,11.8834
I2440,,,Cam,138.8751,73.4667
2842,Gx,,Car,138.9002,-63.0667
2760,-,,Cam,138.9250,76.3834
I2450,,,Cnc,138.9252,25.4500
I2451,Gx,16.0,Cnc,138.9252,23.4834
I2453,Gx,15.0,Cnc,138.9502,20.9334
I2452,Gx,16.0,Cnc,138.9752,23.4500
2794,Gx,14.0,Cnc,139.0002,17.6000
2818,OC,8.2,Pyx,139.0002,-36.6167
I2454,Gx,14.0,Cnc,139.0002,17.8167
2795,Gx,14.0,Cnc,139.0252,17.6334
2811,Gx,11.3,Hya,139.0502,-16.3167
2815,Gx,13.0,Hya,139.0752,-23.6333
2797,Gx,14.0,Cnc,139.1002,17.7334
2796,Gx,14.0,Cnc,139.1752,30.9167
2801,Gx,15.0,Cnc,139.1752,19.9334
2802,Gx,14.0,Cnc,139.1752,18.9667
2803,Gx,14.0,Cnc,139.1752,18.9667
2793,Gx,14.0,Lyn,139.2002,34.4334
2804,Gx,14.0,Cnc,139.2002,20.2000
2821,Gx,14.0,Pyx,139.2002,-26.8167
I2455,,,Cnc,139.2002,20.1167
2806,Gx,15.0,Cnc,139.2502,20.0500
2807,Gx,15.0,Cnc,139.2502,20.0334
2809,Gx,14.0,Cnc,139.2752,20.0667
I2457,Gx,14.0,Cnc,139.2752,20.0834
2817,Gx,13.0,Hya,139.3252,-4.7333
2798,Gx,12.3,Lyn,139.3502,42.0000
2799,Gx,14.0,Lyn,139.3752,42.0000
I2456,,,Lyn,139.3752,34.7834
2812,Gx,15.0,Cnc,139.4002,19.9167
2813,Gx,15.0,Cnc,139.4252,19.9000
2835,Gx,11.0,Hya,139.4752,-22.3500
I 531,Gx,15.0,Hya,139.4752,-0.2833
2819,Gx,14.0,Cnc,139.5502,16.2167
2837,Gx,14.0,Hya,139.6002,-16.5000
I 529,Gx,13.0,Cam,139.6251,73.7667
2800,Gx,14.0,UMa,139.6502,52.5167
2845,Gx,,Vel,139.6502,-38.0000
2824,Gx,14.0,Cnc,139.7502,26.2667
I 532,?,,Hya,139.7502,-16.7667
I2459,,,Lyn,139.7752,34.8834
2827,Gx,15.0,Lyn,139.8002,33.8667
2787,Gx,10.8,UMa,139.8251,69.2001
2823,Gx,16.0,Lyn,139.8252,34.0000
2849,OC,,Vel,139.8252,-40.5167
I2460,?,,Lyn,139.8252,33.8500
2825,Gx,16.0,Lyn,139.8502,33.7334
2826,Gx,15.0,Lyn,139.8502,33.6167
2828,Gx,15.0,Lyn,139.8752,33.8834
2829,Gx,,Lyn,139.8752,33.6667
2830,Gx,15.0,Lyn,139.9252,33.7334
2831,Gx,13.6,Lyn,139.9252,33.7334
2832,Gx,11.5,Lyn,139.9502,33.7334
2833,Gx,15.0,Lyn,139.9752,33.9334
2846,,,Hya,139.9752,-14.6833
I2461,Gx,15.0,Lyn,139.9752,37.1667
2834,Gx,15.0,Lyn,140.0002,33.7167
2847,Gx,15.0,Hya,140.0252,-16.5167
2848,Gx,12.1,Hya,140.0502,-16.5333
2805,Gx,11.3,UMa,140.0752,64.1001
2843,Gx,,Cnc,140.1002,18.9500
I 533,,,Hya,140.1002,-4.0000
2839,Gx,15.0,Lyn,140.1502,33.6667
2851,Gx,15.0,Hya,140.1502,-16.4667
2838,Gx,14.0,Lyn,140.1752,39.3167
2840,Gx,15.0,Lyn,140.2002,35.3834
2850,Gx,,Hya,140.2502,-4.9167
2816,-,,UMa,140.2752,60.4501
2814,Gx,13.8,UMa,140.3002,64.2501
I 534,Gx,15.0,Hya,140.3002,3.1500
2867,Pl,10.0,Car,140.3502,-58.3167
2855,Gx,11.6,Hya,140.3752,-11.9167
I2458,Gx,15.0,UMa,140.4002,64.2334
2820,Gx,12.8,UMa,140.4502,64.2667
2844,Gx,12.9,Lyn,140.4502,40.1500
2841,Gx,9.3,UMa,140.5002,50.9667
2866,-,,Vel,140.5002,-51.0834
2810,Gx,13.0,UMa,140.5251,71.8334
I 535,Gx,16.0,Hya,140.5502,-1.0500
2858,Gx,14.0,Hya,140.7252,3.1500
I2462,,,Leo,140.7252,22.6834
I2463,Gx,16.0,Leo,140.7502,22.6167
I2469,Gx,,Pyx,140.7502,-32.4500
2852,Gx,14.0,Lyn,140.8002,40.1667
2853,Gx,14.0,Lyn,140.8252,40.2000
2887,Gx,,Car,140.8252,-63.8167
2868,,,Hya,140.8502,-10.4167
I2464,Gx,15.0,Leo,140.8502,22.5834
2865,Gx,11.4,Hya,140.8752,-23.1667
2861,Gx,14.0,Hya,140.9002,2.1333
2863,Gx,13.0,Hya,140.9002,-10.4000
2869,,,Hya,140.9002,-10.4333
I2465,,,Leo,140.9002,24.4500
I2466,Gx,15.0,Leo,140.9252,24.5167
2854,Gx,14.0,UMa,141.0002,49.2167
2856,Gx,14.0,UMa,141.0502,49.2501
2864,Gx,15.0,Hya,141.0502,5.9500
2859,Gx,10.7,LMi,141.0752,34.5167
2857,Gx,14.0,UMa,141.1252,49.3501
I 536,Gx,15.0,Leo,141.1502,25.1167
2860,Gx,15.0,Lyn,141.2252,41.0667
2862,Gx,14.0,Leo,141.2252,26.7667
I2467,,,LMi,141.2252,38.3334
I2468,,,LMi,141.2502,38.3334
I2470,,,Hya,141.2502,3.3833
2876,Gx,14.0,Hya,141.3002,-6.7167
2883,Gx,,Pyx,141.3002,-34.0834
I2471,Gx,14.0,Hya,141.3002,-6.8333
2879,***,,Hya,141.3502,-11.6667
I 537,Gx,14.0,Hya,141.3502,-12.3833
2871,,,Leo,141.4252,11.4500
2872,Gx,13.0,Leo,141.4252,11.4334
2874,Gx,14.0,Leo,141.4502,11.4334
2875,Gx,15.0,Leo,141.4502,11.4334
2877,Gx,14.0,Hya,141.4502,2.2167
2878,Gx,15.0,Hya,141.4502,2.0833
2873,Gx,15.0,Leo,141.4752,11.4500
2881,Gx,14.0,Hya,141.4752,-11.9833
2915,Gx,12.6,Cha,141.5500,-76.6334
2888,Gx,12.5,Pyx,141.5752,-28.0334
2884,Gx,13.0,Hya,141.6002,-11.5500
2882,Gx,13.0,Leo,141.6252,7.9333
2886,***,,Hya,141.6252,-21.7667
I2472,Gx,15.0,Leo,141.6252,21.3834
2890,Gx,15.0,Hya,141.6502,-14.5333
2891,Gx,14.0,Pyx,141.7002,-24.8167
I2484,,,Vel,141.7002,-42.8500
2899,Pl,,Vel,141.7502,-56.1000
I2482,Gx,13.0,Hya,141.7502,-12.1000
2889,Gx,11.8,Hya,141.8002,-11.6333
I2474,,,Leo,141.8002,23.0334
I2485,,,Ant,141.8002,-39.2834
I 538,Gx,,Leo,141.8502,23.0167
I2473,Gx,15.0,Leo,141.8502,30.4334
I2481,Gx,14.0,Hya,141.8503,3.9333
I2488,OC,7.0,Vel,141.9002,-56.9834
2870,Gx,14.0,UMa,141.9502,57.3834
I2475,Nb,,Leo,141.9752,29.8000
I2476,Gx,,Leo,141.9752,29.9834
I2477,,,Leo,141.9752,29.7000
I2478,Nb,,Leo,141.9752,30.0167
I2479,Nb,,Leo,142.0252,30.0000
I2480,Nb,,Leo,142.0502,29.7167
I 539,Gx,14.0,Hya,142.2753,-2.5500
2894,Gx,13.0,Leo,142.3503,7.7167
I2483,Gx,16.0,Leo,142.3752,31.0000
2880,Gx,11.6,UMa,142.4002,62.5001
2885,Gx,,Leo,142.4002,22.9500
2897,Gx,,Hya,142.4503,2.2000
2898,Gx,15.0,Hya,142.4503,2.0500
2904,Gx,13.0,Ant,142.5502,-30.3834
I 540,Gx,15.0,Leo,142.5503,7.9000
I2487,Gx,,Leo,142.5502,20.1000
2893,Gx,13.0,Leo,142.5752,29.5334
2896,Gx,15.0,Leo,142.5752,23.6500
2900,Gx,14.0,Hya,142.5753,4.1333
I2486,Gx,15.0,Leo,142.5752,26.6500
2910,OC,7.2,Vel,142.6002,-52.9000
I 541,,,Hya,142.6253,-4.2500
2902,Gx,13.0,Hya,142.7252,-14.7333
I 543,Gx,13.0,Hya,142.7252,-14.7333
I 542,Gx,15.0,Hya,142.8002,-13.1667
I2489,,,Hya,142.8003,-5.8833
2907,Gx,13.0,Hya,142.9002,-16.7333
2903,Gx,8.9,Leo,143.0502,21.5000
2905,Gx,10.0,Leo,143.0502,21.5167
2906,Gx,13.0,Leo,143.0503,8.4500
2895,Gx,14.0,UMa,143.1002,57.4834
2901,-,,Leo,143.1002,31.1167
2892,Gx,14.0,UMa,143.2251,67.6167
I2490,Nb,,Leo,143.2752,29.9167
I2492,,,Ant,143.3002,-37.9000
2912,Gx,,Leo,143.4253,10.1500
2925,OC,8.0,Vel,143.4252,-53.4334
2911,Gx,11.6,Leo,143.4503,10.1500
2913,Gx,14.0,Leo,143.5003,9.4667
2914,Gx,13.1,Leo,143.5003,10.1167
2920,Gx,,Hya,143.5752,-20.8500
2917,Gx,14.0,Hya,143.6253,-2.5000
2921,Gx,13.0,Hya,143.6752,-20.9500
2919,Gx,14.0,Leo,143.7003,10.2834
I 546,Gx,14.0,Hya,143.7252,-16.3833
2916,Gx,12.0,Leo,143.7502,21.7000
2924,Gx,13.0,Hya,143.8002,-16.4000
I2491,Gx,15.0,LMi,143.8002,34.7334
2932,-,,Vel,143.8252,-46.9500
2918,Gx,13.0,Leo,143.9502,31.7000
I 544,Gx,15.0,Leo,143.9752,24.9000
2923,Gx,15.0,Leo,144.0002,16.7500
I 545,Gx,15.0,Leo,144.0252,24.9500
I2494,,,Hya,144.0253,-12.4333
I 547,Gx,13.0,Hya,144.0503,-12.4167
I2493,Gx,15.0,LMi,144.0752,37.3834
2935,Gx,12.0,Hya,144.1752,-21.1333
2922,Gx,14.0,LMi,144.2002,37.6834
2927,Gx,14.0,Leo,144.3002,23.5834
2928,Gx,15.0,Leo,144.3252,16.9667
2929,Gx,14.0,Leo,144.3502,23.1500
2926,Gx,14.0,Leo,144.3752,32.8334
2930,Gx,14.0,Leo,144.3752,23.2000
2931,Gx,15.0,Leo,144.4002,23.2334
